dt,u0,u1,u2,u3,robot_current_state_x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,x_next,y_next,z_next,qw_next,qx_next,qy_next,qz_next,Vx_next,Vy_next,Vz_next
0.040000000,0.00797007,-0.00172665,-0.00180704,9.80887,0.000937471,0.00471183,0.534004,0.999993,0.000305922,-4.36871e-05,0.00376888,4.68015e-310,0,6.95296e-310,0.000930574,0.00466876,0.534015,0.999993,0.000704751,-0.000128489,0.00367852,-0.000165199,-0.000991977,0.000226291,
0.048000000,0.00813439,-0.001395,-0.00178226,9.81119,0.000900022,0.00446073,0.533524,0.999993,0.000239133,-6.58127e-05,0.00371717,4.68015e-310,0,6.95296e-310,0.00089147,0.00442392,0.533547,0.999993,0.000646114,-0.000134029,0.00362807,-0.000192884,-0.000869246,0.000458527,
0.040000000,-0.000705801,0.000357351,-0.00175946,9.84746,0.000869249,0.00425482,0.5331,0.999993,0.00023716,-9.83346e-05,0.00366964,-0.000768661,-0.00512698,-0.0107048,0.000783363,0.00371989,0.532234,0.999994,0.000201813,-8.05758e-05,0.00358167,-0.000943274,-0.00555989,-0.00661881,
0.012000000,-0.000941674,0.00051796,-0.0017497,9.84907,0.000856809,0.00417345,0.532924,0.999993,0.00024706,-0.000109207,0.00364928,-0.000775346,-0.00509146,-0.0109423,0.000769446,0.00364148,0.532042,0.999994,0.000199892,-8.34589e-05,0.0035618,-0.000963514,-0.00553234,-0.00669524,
0.048000000,0.00682766,-0.000477544,-0.00172531,9.81624,0.000824845,0.00397213,0.53248,0.999993,0.000256942,-0.000132574,0.00359832,4.68015e-310,0,6.95296e-310,0.000811221,0.00393569,0.532528,0.999994,0.00059842,-0.000155201,0.00351209,-0.000279505,-0.000840642,0.00096341,
0.040000000,-0.00188789,0.00096136,-0.00170126,9.84798,0.000791064,0.00377337,0.53209,0.999994,0.000270719,-0.000123878,0.00354828,-0.000852429,-0.00495472,-0.0093393,0.000695272,0.0032543,0.531363,0.999994,0.000176165,-7.61225e-05,0.00346322,-0.00104784,-0.0053955,-0.00520147,
0.052000000,-0.00243644,0.00123616,-0.00167768,9.84614,0.000748503,0.00353749,0.53169,0.999994,0.000280461,-0.000132766,0.00349907,-0.000899235,-0.00489687,-0.00815967,0.000647605,0.00302416,0.531071,0.999994,0.000158435,-7.13615e-05,0.00341519,-0.00109873,-0.00532971,-0.00420557,
0.040000000,-0.00254263,0.00121441,-0.0016543,9.84162,0.000703623,0.00330394,0.531363,0.999994,0.000248601,-0.000114836,0.00345032,-0.000943365,-0.0048519,-0.00625069,0.000600033,0.00279843,0.530913,0.999994,0.00012127,-5.45339e-05,0.0033676,-0.00110881,-0.00521648,-0.00274888,
0.048000000,0.00611485,-4.23887e-05,-0.00162465,9.82281,0.000649403,0.00303556,0.531121,0.999994,0.000128095,-0.000134572,0.00338835,4.68015e-310,0,6.95296e-310,0.000636225,0.00301292,0.531202,0.999994,0.000433854,-0.000135645,0.00330715,-0.000263584,-0.000552877,0.0016205,
0.052000000,-0.000816522,0.00139829,-0.00160011,9.82885,0.000608808,0.00284971,0.531037,0.999994,3.44319e-05,-0.000100678,0.00333735,-0.00102143,-0.00460893,-0.00176471,0.000499063,0.00238676,0.530972,0.999995,-6.61928e-06,-3.08978e-05,0.00325734,-0.00115066,-0.0046367,0.000460191,
0.048000000,-0.000567862,0.00115609,-0.00157032,9.8256,0.000559326,0.00263736,0.530994,0.999995,5.99059e-06,-6.74478e-05,0.00327515,-0.00102876,-0.00435268,-0.000683093,0.000451712,0.00220243,0.53102,0.999995,-2.25864e-05,-9.73629e-06,0.00319663,-0.00110465,-0.00433662,0.00121678,
0.040000000,-0.000361007,0.00106906,-0.00154393,9.82238,0.000510752,0.00243785,0.530997,0.999995,-1.50753e-05,-5.30832e-05,0.00322011,-0.00100507,-0.00409031,0.000317257,0.000406772,0.00203088,0.531108,0.999995,-3.32936e-05,3.09976e-07,0.00314291,-0.00105705,-0.00404297,0.00189573,
0.012000000,0.00639885,-0.000680433,-0.00153999,9.82338,0.000502776,0.00240578,0.531002,0.999995,-2.79756e-05,-4.5798e-05,0.00321183,4.68015e-310,0,6.95296e-310,0.000497222,0.00239803,0.531086,0.999995,0.000292078,-7.8794e-05,0.00313484,-0.000121572,-0.000259825,0.0016777,
0.040000000,0.000702246,0.000370431,-0.00151954,9.81974,0.000463608,0.002251,0.531041,0.999995,-0.000110008,1.47577e-05,0.00316927,-0.000971247,-0.00381852,0.0010771,0.000368512,0.00187881,0.531214,0.999995,-7.49553e-05,3.33821e-05,0.00309329,-0.000924545,-0.00363675,0.00239146,
